name, event, datetime
А,ONLINE,Mon Jul 20 21:27:13 2020
А,с браузера,Mon Jul 20 21:38:38 2020
М,ONLINE,Mon Jul 20 22:19:05 2020
М,с iPhone,Mon Jul 20 22:24:25 2020
М,ONLINE,Mon Jul 20 23:09:46 2020
М,с iPhone,Mon Jul 20 23:14:44 2020
А,ONLINE,Tue Jul 21 08:03:44 2020
А,с браузера,Tue Jul 21 08:09:50 2020
А,с браузера,Tue Jul 21 08:39:47 2020
М,с iPhone,Tue Jul 21 08:39:49 2020
А,ONLINE,Tue Jul 21 09:09:58 2020
А,с iPhone,Tue Jul 21 09:15:00 2020
А,ONLINE,Tue Jul 21 09:28:09 2020
А,с iPhone,Tue Jul 21 09:33:08 2020
А,ONLINE,Tue Jul 21 10:15:20 2020
А,с iPhone,Tue Jul 21 10:20:21 2020
А,ONLINE,Tue Jul 21 10:25:57 2020
А,с браузера,Tue Jul 21 10:35:49 2020
А,ONLINE,Tue Jul 21 10:54:27 2020
А,с iPhone,Tue Jul 21 10:59:25 2020
А,ONLINE,Tue Jul 21 11:24:19 2020
А,с iPhone,Tue Jul 21 11:31:05 2020
А,ONLINE,Tue Jul 21 11:45:13 2020
А,с iPhone,Tue Jul 21 11:53:12 2020
А,ONLINE,Tue Jul 21 12:09:35 2020
А,с iPhone,Tue Jul 21 12:14:37 2020
А,ONLINE,Tue Jul 21 12:32:48 2020
А,с iPhone,Tue Jul 21 12:37:49 2020
А,ONLINE,Tue Jul 21 12:42:00 2020
А,с iPhone,Tue Jul 21 12:46:58 2020
А,ONLINE,Tue Jul 21 12:58:28 2020
А,с iPhone,Tue Jul 21 13:03:30 2020
А,ONLINE,Tue Jul 21 13:22:39 2020
А,с браузера,Tue Jul 21 13:28:54 2020
М,ONLINE,Tue Jul 21 13:38:00 2020
М,с iPhone,Tue Jul 21 13:47:55 2020
М,ONLINE,Tue Jul 21 14:06:06 2020
М,с iPhone,Tue Jul 21 14:12:00 2020
А,ONLINE,Tue Jul 21 14:13:43 2020
А,с браузера,Tue Jul 21 14:20:53 2020
М,ONLINE,Tue Jul 21 14:34:53 2020
М,с iPhone,Tue Jul 21 14:39:51 2020
М,ONLINE,Tue Jul 21 14:45:03 2020
А,ONLINE,Tue Jul 21 14:49:51 2020
М,с iPhone,Tue Jul 21 14:52:38 2020
А,с iPhone,Tue Jul 21 14:56:39 2020
А,ONLINE,Tue Jul 21 15:22:25 2020
М,с iPhone,Tue Jul 21 15:22:26 2020
А,с браузера,Tue Jul 21 15:28:28 2020
А,ONLINE,Tue Jul 21 15:33:29 2020
А,с браузера,Tue Jul 21 15:38:09 2020
А,ONLINE,Tue Jul 21 15:41:31 2020
А,с браузера,Tue Jul 21 15:56:56 2020
А,ONLINE,Tue Jul 21 17:23:56 2020
А,с браузера,Tue Jul 21 17:29:07 2020
А,ONLINE,Tue Jul 21 17:35:09 2020
А,с iPhone,Tue Jul 21 17:40:10 2020
М,ONLINE,Tue Jul 21 17:52:51 2020
М,с iPhone,Tue Jul 21 18:11:23 2020
А,ONLINE,Tue Jul 21 19:39:30 2020
А,с iPhone,Tue Jul 21 19:48:30 2020
А,ONLINE,Tue Jul 21 19:54:41 2020
А,с iPhone,Tue Jul 21 19:59:38 2020
А,с iPhone,Wed Jul 22 05:47:19 2020
М,с iPhone,Wed Jul 22 05:47:21 2020
А,ONLINE,Wed Jul 22 08:09:19 2020
А,с iPhone,Wed Jul 22 08:14:57 2020
А,ONLINE,Wed Jul 22 08:39:04 2020
А,с iPhone,Wed Jul 22 08:45:41 2020
А,ONLINE,Wed Jul 22 09:09:34 2020
А,с iPhone,Wed Jul 22 09:14:33 2020
А,ONLINE,Wed Jul 22 09:37:37 2020
А,с iPhone,Wed Jul 22 09:50:23 2020
М,с телефона,Wed Jul 22 11:44:54 2020
А,с iPhone,Wed Jul 22 11:44:56 2020
А,ONLINE,Wed Jul 22 11:45:09 2020
А,с браузера,Wed Jul 22 11:51:41 2020
А,ONLINE,Wed Jul 22 12:00:09 2020
А,с iPhone,Wed Jul 22 12:05:08 2020
М,ONLINE,Wed Jul 22 12:21:14 2020
А,с iPhone,Wed Jul 22 12:44:55 2020
М,с телефона,Wed Jul 22 12:44:56 2020
А,ONLINE,Wed Jul 22 12:53:03 2020
А,с браузера,Wed Jul 22 13:12:35 2020
А,ONLINE,Wed Jul 22 13:29:51 2020
А,с iPhone,Wed Jul 22 13:36:49 2020
А,ONLINE,Wed Jul 22 13:44:29 2020
А,с iPhone,Wed Jul 22 13:49:31 2020
А,ONLINE,Wed Jul 22 13:49:50 2020
А,с iPhone,Wed Jul 22 13:57:51 2020
А,ONLINE,Wed Jul 22 14:30:07 2020
А,с браузера,Wed Jul 22 14:40:59 2020
А,ONLINE,Wed Jul 22 14:44:45 2020
А,с браузера,Wed Jul 22 15:04:36 2020
А,ONLINE,Wed Jul 22 15:12:20 2020
А,с iPhone,Wed Jul 22 15:19:49 2020
А,ONLINE,Wed Jul 22 15:41:33 2020
А,с iPhone,Wed Jul 22 16:22:21 2020
А,ONLINE,Wed Jul 22 16:31:24 2020
М,ONLINE,Wed Jul 22 16:32:21 2020
А,с iPhone,Wed Jul 22 16:36:26 2020
М,с телефона,Wed Jul 22 16:37:19 2020
А,ONLINE,Wed Jul 22 16:54:59 2020
А,с iPhone,Wed Jul 22 17:02:01 2020
А,ONLINE,Wed Jul 22 17:03:01 2020
А,с браузера,Wed Jul 22 17:08:00 2020
А,ONLINE,Wed Jul 22 17:20:07 2020
А,с браузера,Wed Jul 22 17:25:47 2020
А,ONLINE,Wed Jul 22 17:37:22 2020
А,с iPhone,Wed Jul 22 17:42:20 2020
А,ONLINE,Wed Jul 22 17:43:43 2020
А,с iPhone,Wed Jul 22 18:43:01 2020
А,ONLINE,Wed Jul 22 19:12:52 2020
А,с iPhone,Wed Jul 22 19:24:41 2020
А,ONLINE,Wed Jul 22 19:57:59 2020
А,с iPhone,Wed Jul 22 20:02:59 2020
А,ONLINE,Wed Jul 22 20:19:11 2020
А,с iPhone,Wed Jul 22 20:27:43 2020
А,ONLINE,Wed Jul 22 20:58:52 2020
А,с iPhone,Wed Jul 22 21:08:57 2020
А,ONLINE,Wed Jul 22 21:15:17 2020
А,с iPhone,Wed Jul 22 21:20:16 2020
А,ONLINE,Wed Jul 22 21:25:27 2020
А,с iPhone,Wed Jul 22 21:32:15 2020
А,ONLINE,Wed Jul 22 21:35:14 2020
А,с iPhone,Wed Jul 22 21:40:16 2020
А,ONLINE,Wed Jul 22 21:43:38 2020
А,с iPhone,Wed Jul 22 21:51:24 2020
А,с iPhone,Thu Jul 23 08:52:25 2020
М,с iPhone,Thu Jul 23 08:52:26 2020
А,с iPhone,Thu Jul 23 10:13:33 2020
М,с iPhone,Thu Jul 23 10:13:34 2020
А,с iPhone,Thu Jul 23 10:14:39 2020
М,с iPhone,Thu Jul 23 10:14:40 2020
А,ONLINE,Thu Jul 23 12:16:45 2020
М,с iPhone,Thu Jul 23 12:16:46 2020
А,ONLINE,Thu Jul 23 12:21:40 2020
М,с iPhone,Thu Jul 23 12:21:42 2020
